aX,aY,aZ,gX,gY,gZ
-0.255,1.008,0.526,32.043,55.115,36.438
-0.205,1.117,0.407,34.973,66.406,45.105
-0.173,1.248,0.336,32.043,80.017,46.936
-0.130,1.352,0.324,22.644,84.839,41.504
-0.155,1.370,0.350,5.371,72.205,33.691
-0.178,1.311,0.448,-18.066,51.331,27.039
-0.165,1.221,0.576,-38.574,34.729,31.067
-0.265,-1.344,1.652,-104.980,3.845,-189.087
-0.530,-1.450,1.765,-101.318,15.747,-168.030
-0.635,-1.445,1.764,-70.007,37.354,-122.864
-0.625,-1.263,1.691,-13.367,51.941,-68.848
-0.530,-0.924,1.493,53.284,43.640,-23.071
-0.409,-0.550,1.298,114.929,12.573,7.507
-0.278,-0.176,1.107,158.325,-14.282,26.855
-0.188,0.142,0.954,173.157,-39.063,39.734
-0.129,0.404,0.852,157.654,-42.419,47.180
-0.042,0.613,0.787,118.958,-30.029,50.110
0.049,0.755,0.771,74.951,-12.512,51.086
0.125,0.822,0.796,35.583,2.136,48.462
0.172,0.806,0.829,7.324,11.719,42.175
0.191,0.714,0.850,-8.911,17.578,33.630
0.134,0.608,0.880,-14.648,20.081,23.987
0.066,0.498,0.890,-14.587,18.982,16.479
0.018,0.389,0.894,-12.390,15.625,13.428
-0.010,0.307,0.901,-11.108,11.108,13.062
-0.031,0.237,0.924,-11.719,7.385,14.099
-0.034,0.162,0.956,-14.526,5.188,17.029
-0.015,0.116,0.989,-17.212,3.906,21.301
0.002,0.094,1.009,-15.564,2.563,25.085
0.021,0.093,1.035,-8.240,-0.427,26.733
0.024,0.113,1.033,1.526,-3.418,26.001
0.038,0.146,1.004,12.329,-4.395,25.146
0.025,0.195,0.972,21.545,-5.493,23.376
0.021,0.246,0.955,25.391,-4.944,20.630
0.009,0.287,0.930,23.926,-3.479,18.982
0.009,0.315,0.910,20.508,-2.197,18.188
0.009,0.326,0.912,16.174,-1.892,16.479
0.005,0.326,0.922,10.864,-3.540,14.221
0.003,0.311,0.934,7.751,-3.357,12.939
0.006,0.287,0.943,7.935,-2.747,12.268
-0.007,0.267,0.951,9.399,-1.282,11.841
-0.018,0.246,0.954,10.620,0.671,12.146
-0.009,0.227,0.958,10.498,2.930,12.878
-0.011,0.217,0.957,7.446,0.671,12.512
-0.015,0.215,0.959,5.005,4.639,11.108
-0.009,0.213,0.953,3.357,7.874,10.071
-0.015,0.195,0.954,5.371,8.972,9.155
-0.021,0.180,0.943,9.216,10.498,8.240
-0.025,0.174,0.924,12.817,10.376,7.874
-0.018,0.177,0.894,17.700,10.254,7.385
-0.029,0.187,0.878,19.775,5.005,6.958
-0.046,0.200,0.876,17.395,-0.671,6.836
-0.065,0.223,0.880,11.536,-4.028,8.362
-0.054,0.234,0.881,7.080,-1.038,11.353
-0.036,0.237,0.891,4.150,-1.404,13.672
-0.027,0.238,0.912,0.427,-6.348,14.893
0.000,0.228,0.932,-3.540,-8.728,15.869
-0.002,0.228,0.967,-3.845,-2.136,15.686
