aX,aY,aZ,gX,gY,gZ
-0.194,0.537,1.116,-46.509,5.249,38.879
-0.106,0.495,1.143,-49.683,-2.136,50.659
-0.046,0.373,1.167,-39.063,-2.197,52.368
0.027,0.364,1.230,-18.738,10.498,44.556
-0.020,0.381,1.245,4.395,24.719,40.649
-0.121,0.507,1.249,25.024,34.790,33.691
-0.227,0.633,1.232,37.903,46.387,25.513
-0.317,0.761,1.192,43.091,55.908,12.878
-0.385,0.843,1.141,39.612,60.242,-0.977
-0.425,0.872,1.086,27.161,58.105,-13.123
-0.443,0.851,1.045,12.634,55.115,-29.907
-0.444,0.757,0.974,2.747,51.636,-50.964
-0.461,0.690,0.929,-7.324,46.631,-74.097
-0.517,0.545,0.894,-10.376,42.664,-94.360
-0.503,0.429,0.884,-10.254,37.537,-107.422
-0.479,0.361,0.897,-7.874,33.081,-109.619
-0.475,0.295,0.836,4.028,30.396,-106.567
-0.452,0.294,0.840,14.954,30.884,-106.689
-0.494,0.308,0.840,26.001,35.522,-112.610
-0.543,0.310,0.821,34.668,35.950,-118.958
-0.548,0.355,0.847,34.241,34.058,-125.916
-0.559,0.388,0.836,34.363,34.180,-135.254
-0.607,0.379,0.803,36.316,34.241,-147.095
-0.637,0.358,0.780,35.034,33.203,-161.072
-0.685,0.295,0.741,32.288,29.053,-173.279
-0.662,0.244,0.758,24.963,22.705,-180.115
-0.722,0.193,0.759,16.235,16.968,-186.218
-0.755,0.059,0.746,9.827,16.418,-181.091
-0.734,-0.044,0.758,-2.258,16.724,-168.762
-0.732,-0.141,0.775,-15.137,3.113,-159.912
-0.719,-0.196,0.801,-24.780,-9.888,-147.766
-0.665,-0.225,0.848,-25.024,-15.991,-137.756
-0.626,-0.342,0.912,-15.320,-15.564,-136.169
-0.612,-0.390,0.952,-3.967,-11.597,-138.611
-0.586,-0.462,0.968,11.414,-7.690,-142.212
-0.584,-0.503,0.992,25.635,-3.296,-145.447
-0.583,-0.465,1.000,28.564,0.732,-144.348
-0.572,-0.429,0.994,23.193,2.075,-137.939
-0.597,-0.426,1.000,12.573,0.610,-126.770
-0.588,-0.412,1.027,-2.869,-1.282,-111.023
-0.569,-0.443,1.008,-15.015,-4.395,-98.938
-0.567,-0.490,1.058,-26.367,-5.737,-89.661
-0.567,-0.622,1.010,-33.447,-7.507,-76.904
-0.530,-0.704,1.018,-45.105,-9.827,-55.237
-0.465,-0.756,1.026,-52.490,-12.024,-26.001
-0.419,-0.754,1.052,-54.138,-13.123,-3.052
-0.390,-0.764,1.045,-43.945,-11.963,9.521
-0.366,-0.785,1.034,-33.325,-9.705,15.991
-0.371,-0.704,1.039,-31.494,-9.644,23.865
-0.251,-0.630,1.068,-30.945,-12.634,38.147
-0.250,-0.570,1.042,-28.442,-17.639,53.772
-0.178,-0.495,1.017,-39.063,-19.165,69.763
-0.142,-0.446,1.011,-45.776,-16.296,76.904
-0.154,-0.412,0.959,-46.936,-13.916,78.552
-0.210,-0.457,0.918,-51.819,-7.324,83.618
-0.226,-0.538,0.892,-54.565,0.122,96.252
-0.187,-0.571,0.868,-56.091,1.038,118.286
-0.171,-0.535,0.897,-57.922,0.366,143.433
-0.145,-0.486,0.893,-53.711,1.099,162.537
-1.348,1.321,1.758,18.250,44.312,16.541
-0.280,-0.027,1.534,33.875,74.219,-82.886
-0.468,-0.900,1.224,21.851,85.083,-113.647
-0.631,-0.748,1.139,-63.049,67.444,-70.923
-0.575,-0.567,0.756,-27.588,31.677,-34.363
-0.425,-0.524,0.802,72.144,20.935,-28.992
-0.510,-0.287,0.835,128.113,44.861,-38.391
-0.446,-0.021,0.914,149.841,58.899,-47.058
-0.273,0.122,0.955,131.287,61.951,-56.396
-0.146,0.136,0.971,88.867,55.847,-70.190
-0.079,0.107,0.950,44.678,40.100,-86.060
0.178,-0.040,0.872,8.484,23.254,-99.670
0.187,-0.223,0.792,-6.348,9.705,-99.976
0.156,-0.292,0.647,-15.442,6.531,-87.952
0.139,-0.316,0.584,-14.832,9.521,-74.829
0.148,-0.223,0.596,-9.155,14.526,-63.232
0.093,-0.097,0.587,-5.615,17.517,-59.753
-0.041,-0.032,0.559,-3.479,13.794,-70.129
-0.157,0.019,0.505,-10.071,-1.526,-80.383
-0.210,0.062,0.498,-36.682,-20.996,-81.299
-0.233,0.029,0.510,-70.618,-41.931,-75.500
-0.210,-0.008,0.527,-99.060,-61.646,-67.017
-0.198,-0.062,0.579,-109.436,-76.538,-65.063
-0.219,-0.096,0.646,-95.032,-81.970,-74.158
-0.175,-0.191,0.766,-70.374,-78.430,-79.712
-0.066,-0.162,0.914,-55.786,-69.336,-68.787
-0.108,-0.192,0.914,-46.204,-70.740,-53.284
-0.080,-0.133,0.959,-33.691,-73.975,-44.189
-0.149,-0.085,0.962,-12.939,-65.002,-37.781
-0.245,-0.090,0.968,29.053,-52.551,-39.307
-0.332,-0.126,0.918,69.153,-37.781,-45.105
-0.435,-0.238,0.873,83.374,-23.254,-45.410
-0.626,-0.403,0.812,64.148,-16.296,-43.335
-0.569,-0.218,0.807,9.460,-17.090,-45.959
-0.556,-0.198,0.772,-12.207,-27.283,-56.335
-0.645,-0.161,0.846,-1.221,-40.710,-63.354
-0.622,-0.171,0.877,22.400,-50.415,-67.810
-0.540,-0.107,1.046,30.090,-55.115,-71.960
